ID,LicenceArea,GridSupplyPoint,Substation,SiteFunctionalLocation,Proposed_Connection_Voltage_kV,Status of Connection,Demand_Numbers_Received_Total_Number,Demand_Numbers_Received_Total_Capacity,Generation_Numbers_Received_Total_Number,Generation_Numbers_Received_Total_Capacity,Spatial Coordinates
187,Eastern Power Networks (EPN),Eaton Socon,St Ives Primary 11kV,EPN-S0000000H4046,11,Budget Estimates Provided,1.0,4.7,,,"52.3348370403047, -0.0673623505827406"
249,Eastern Power Networks (EPN),Norwich,Earlham Grid Local 11kV,EPN-S0000000H5065,11,Connection offers made (not yet accepted by customer),2.0,3.0,1,1,"52.6299846751722, 1.22732149561236"
261,Eastern Power Networks (EPN),Norwich,Mulbarton Primary 11kV,EPN-S0000000H5022,11,Connection offers made (not yet accepted by customer),1.0,6.5,,,"52.5640147325315, 1.25498546739366"
263,Eastern Power Networks (EPN),Norwich,Norwich Main 132kV,EPN-S0000000C5012,132,Budget Estimates Provided,,,5,549.9,"52.5740279616305, 1.27181803305154"
268,Eastern Power Networks (EPN),Norwich,Sall 11kV,EPN-S0000000H5069,11,Budget Estimates Provided,2.0,4.0,,,"52.7734089482752, 1.1508670612144"
286,Eastern Power Networks (EPN),Pelham,Acrows Primary 11kV,EPN-S0000000H4048,11,Connection offers made (not yet accepted by customer),1.0,3.0,,,"52.0292161425497, 0.261124260432069"
290,Eastern Power Networks (EPN),Pelham,Belchamp Grid 33kV,EPN-S0000000D1011,33,Connection offers made (not yet accepted by customer),,,2,66.1,"52.0685789944063, 0.605358966326239"
316,Eastern Power Networks (EPN),Rayleigh,Gardiners Ln Primary 11kV,EPN-S0000000H7096,11,Connection offers made (not yet accepted by customer),1.0,1.5,,,"51.5882935227615, 0.482897728873305"
325,Eastern Power Networks (EPN),Rayleigh,Nevendon Grid 33kV,EPN-S0000000D7017,132,Budget Estimates Provided,,,1,40,"51.5945902916807, 0.484526289220705"
357,Eastern Power Networks (EPN),Sundon,Ampthill Primary 11kV,EPN-S0000000H4034,11,Budget Estimates Provided,2.0,6.0,,,"52.0161458337469, -0.479027055786056"
372,Eastern Power Networks (EPN),Sundon,Leighton Buzzard Primary 11kV,EPN-S0000000H8037,11,Connection offers made (not yet accepted by customer),1.0,3.4,,,"51.9165044922591, -0.652661449686785"
376,Eastern Power Networks (EPN),Sundon,Luton North Grid 33kV,,33,Connection offers made (not yet accepted by customer),,,1,30,
409,Eastern Power Networks (EPN),Tilbury 2&8,Canvey Primary 11kV,EPN-S0000000H7109,11,Connection offers made (not yet accepted by customer),1.0,2.4,,,"51.5236189267748, 0.575637834045731"
432,Eastern Power Networks (EPN),Walpole,Downham Market Primary 11kV,,33,Connection offers made (not yet accepted by customer),,,1,15,
452,Eastern Power Networks (EPN),Walpole,Northwold Primary 11kV,EPN-S0000000H6075,33,Connection offers made (accepted by customer),,,1,25,"52.5512106810433, 0.56124150674349"
464,Eastern Power Networks (EPN),Walpole,Peterborough South Grid 33kV,EPN-S0000000D6039,33,Connection offers made (not yet accepted by customer),1.0,39.5,,,
469,Eastern Power Networks (EPN),Walpole,Walpole GIS 132kV,EPN-S0000000C6047,132,"Connection offers made (cancelled, expired, superseded)",1.0,18.0,3,280,"52.7270572195836, 0.200532896725508"
470,Eastern Power Networks (EPN),Walpole,Walpole GIS 132kV,EPN-S0000000C6047,132,Connection offers made (not yet accepted by customer),,,4,786.8,"52.7270572195836, 0.200532896725508"
482,Eastern Power Networks (EPN),Warley,Hornchurch Grid 33kV,EPN-S0000000D7046,33,Connection offers made (not yet accepted by customer),1.0,16.0,,,"51.5594096902223, 0.225088306836665"
484,Eastern Power Networks (EPN),Warley,Lakeside Primary 11kV,EPN-S0000000H7011,11,Budget Estimates Provided,2.0,7.0,,,"51.4835576377817, 0.286137072253766"
491,Eastern Power Networks (EPN),Warley,Purfleet Grid 33kV,EPN-S0000000D7049,33,Budget Estimates Provided,2.0,32.5,,,"51.4785511205189, 0.261893054480452"
517,Eastern Power Networks (EPN),Willesden,Bee Primary 11kV,EPN-S0000000H8050,11,Connection offers made (accepted by customer),1.0,4.0,,,"51.5592363151467, -0.27107272199345"
552,London Power Networks (LPN),Barking C 132kV,Royal Docks 132/11kV,,132,Connection offers made (not yet accepted by customer),1.0,30.0,,,
553,London Power Networks (LPN),Barking West 33kV,Axe St 11kV,,11,Budget Estimates Provided,1.0,5.0,,,
628,London Power Networks (LPN),City Road,Fisher St B 11kV,LPN-S000000000228,11,Connection offers made (not yet accepted by customer),2.0,2.4,,,"51.5183600215218, -0.119866224793326"
631,London Power Networks (LPN),New Cross 132kV,Osborn St B 11kV,LPN-S000000000673,11,Connection offers made (not yet accepted by customer),4.0,21.4,,,"51.5167831984502, -0.0709405654132755"
746,South Eastern Power Networks (SPN),Bolney,Kemp Town 11kV,,11,Connection offer made (not yet accepted by customer),1.0,1.5,,,
781,South Eastern Power Networks (SPN),Canterbury,Shepway 11kV,SPN-S000000008644,11,Connection offer made (not yet accepted by customer),1.0,1.2,,,"51.2519277517553, 0.54987351370232"
785,South Eastern Power Networks (SPN),Chessington,Chessington 132kV,,132,Connection offer made (not yet accepted by customer),1.0,100.0,,,
786,South Eastern Power Networks (SPN),Chessington,Chessington Grid 33kV,,33,"Connection offer made (cancelled, expired, superseded)",1.0,30.0,,,
795,South Eastern Power Networks (SPN),Chessington,Chessington 132kV,,33,Budget Estimates Provided,,,1,100,
797,South Eastern Power Networks (SPN),Chessington,North Chessington 11kV,,11,Budget Estimates Provided,1.0,2.0,,,
798,South Eastern Power Networks (SPN),Chessington,Chessington 132kV,,132,Budget Estimates Provided,1.0,100.0,,,
817,South Eastern Power Networks (SPN),Kingsnorth,Chatham Hill 11kV,SPN-S000000008645,11,Connection offer made (not yet accepted by customer),1.0,4.0,,,"51.3775931642859, 0.54051329034077"
860,South Eastern Power Networks (SPN),Northfleet,Chelsfield Grid 33kV,SPN-S000000009111,33,Connection offer made (not yet accepted by customer),1.0,25.0,,,"51.3449303635275, 0.13989698757686"
891,South Eastern Power Networks (SPN),Richborough,Thanet Grid 33kV,SPN-S000000009949,11,"Connection offer made (cancelled, expired, superseded)",1.0,2.15,,,"51.3683813742032, 1.38944566850995"
5,Eastern Power Networks (EPN),Amersham,Thame Primary 11kV,,11,Connection offers made (not yet accepted by customer),1.0,2.0,,,
15,Eastern Power Networks (EPN),Biggleswade,Biggleswade East 33kV,EPN-S0000000H4172,132,Budget Estimates Provided,1.0,200.0,,,
22,Eastern Power Networks (EPN),Braintree,Lake & Elliot Primary 11kV,EPN-S0000000H3069,11,Budget Estimates Provided,4.0,15.0,,,"51.8739821337294, 0.565585950235916"
24,Eastern Power Networks (EPN),Braintree,Witham Primary 11kV,EPN-S0000000H3054,11,Budget Estimates Provided,1.0,1.7,,,"51.8090255565549, 0.641891288839091"
30,Eastern Power Networks (EPN),Bramford,Benhall Primary 11kV,EPN-S0000000H5027,11,Budget Estimates Provided,1.0,2.0,,,"52.2095489887503, 1.47012633471736"
32,Eastern Power Networks (EPN),Bramford,Braiswick Primary 11kV,EPN-S0000000H3016,11,Connection offers made (not yet accepted by customer),1.0,1.4,,,"51.9040458577, 0.88612429122237"
43,Eastern Power Networks (EPN),Bramford,Bury Grid 33kV,EPN-S0000000D1012,132,Budget Estimates Provided,,,1,50,"52.2399236387066, 0.722979910939776"
45,Eastern Power Networks (EPN),Bramford,Claydon Cement Primary 11kV,EPN-S0000000H1059,11,Budget Estimates Provided,1.0,8.1,,,"52.1097479270073, 1.09671905265498"
49,Eastern Power Networks (EPN),Bramford,Diss Grid 11kV,EPN-S0000000H1014,11,Connection offers made (not yet accepted by customer),1.0,2.0,,,"52.3726957140022, 1.10555613465987"
50,Eastern Power Networks (EPN),Bramford,Diss Grid 33kV,EPN-S0000000D1014,33,Connection offers made (accepted by customer),,,1,30,"52.3726957140022, 1.10555613465987"
57,Eastern Power Networks (EPN),Bramford,Framlingham Primary 11kV,EPN-S0000000H5043,11,Budget Estimates Provided,1.0,1.8,,,"52.2301956876295, 1.32482082842278"
61,Eastern Power Networks (EPN),Bramford,Highfield Primary 11kV,EPN-S0000000H1006,11,Budget Estimates Provided,1.0,1.8,,,"52.0769542169972, 1.12812127222429"
63,Eastern Power Networks (EPN),Bramford,Icklingham Primary 11kV,EPN-S0000000H1015,11,Budget Estimates Provided,1.0,5.0,,,"52.335989068288, 0.562876277898539"
73,Eastern Power Networks (EPN),Bramford,Martlesham Primary 11kV,,11,Budget Estimates Provided,1.0,3.0,,,
76,Eastern Power Networks (EPN),Bramford,Mersea Rd Primary 11kV,EPN-S0000000H3074,11,Connection offers made (not yet accepted by customer),2.0,3.9,,,"51.871944873193, 0.908142117693411"
101,Eastern Power Networks (EPN),Bramford,Wix Primary 11kV,EPN-S0000000H3055,33,Connection offers made (not yet accepted by customer),,,2,30,"51.9190059908613, 1.14452514264264"
115,Eastern Power Networks (EPN),Brimsdown,Waltham Park 11kV,EPN-S0000000F7022,11,Budget Estimates Provided,1.0,2.0,,,"51.6837596050097, -0.0461733850730962"
117,Eastern Power Networks (EPN),Brimsdown,Waltham Park 11kV,EPN-S0000000F7022,132,"Connection offers made (cancelled, expired, superseded)",,,1,100,"51.6837596050097, -0.0461733850730962"
119,Eastern Power Networks (EPN),Burwell,Arbury Grid 33kV,EPN-S0000000H4001,33,Budget Estimates Provided,1.0,13.0,,,"52.2360705090683, 0.129295504611532"
140,Eastern Power Networks (EPN),Burwell,Landbeach Primary 11kV,EPN-S0000000H4020,11,Connection offers made (accepted by customer),1.0,22.0,,,"52.2913555214597, 0.173533476514472"
156,Eastern Power Networks (EPN),Burwell,Thompsons Ln Primary 11kV,EPN-S0000000H4015,11,Budget Estimates Provided,1.0,1.5,,,"52.2103624177746, 0.117819739783256"
165,Eastern Power Networks (EPN),Eaton Socon,Eaton Socon Grid 132kV,EPN-S0000000C4076,132,Budget Estimates Provided,1.0,600.0,,,"52.2147364575905, -0.301694937097924"
176,Eastern Power Networks (EPN),Eaton Socon,Little Barford 11kV,EPN-S0000000F4055,11,Budget Estimates Provided,5.0,11.5,,,"52.2065166590149, -0.268171894048518"
182,Eastern Power Networks (EPN),Eaton Socon,Manton Ln Primary 11kV,EPN-S0000000H4051,11,Connection offers made (not yet accepted by customer),1.0,1.8,,,"52.1507531673233, -0.476782839502988"
183,Eastern Power Networks (EPN),Eaton Socon,Prebend St Primary 11kV,EPN-S0000000H4077,11,Budget Estimates Provided,1.0,1.4,,,"52.1327888904601, -0.474020544694912"
197,Eastern Power Networks (EPN),Elstree,Grove Mill Primary 11kV,EPN-S0000000H8137,11,Connection offers made (not yet accepted by customer),1.0,4.5,1,0.9,"51.676233700079, -0.425139474825921"
201,Eastern Power Networks (EPN),Elstree,Hatfield Primary 11kV,EPN-S0000000H8075,11,Budget Estimates Provided,2.0,5.0,,,"51.7364087408022, -0.239553651947588"
222,Eastern Power Networks (EPN),Mill Hill,Bellevue Primary 11kV,EPN-S0000000H8051,11,Budget Estimates Provided,4.0,13.8,,,"51.5871108159934, -0.218654249431747"
230,Eastern Power Networks (EPN),Mill Hill,East Finchley Primary 11kV,EPN-S0000000H8092,11,Connection offers made (not yet accepted by customer),1.0,3.5,,,"51.590216713461, -0.177302704408035"
232,Eastern Power Networks (EPN),Mill Hill,Golders Grn Primary 11kV,EPN-S0000000H8116,11,Connection offers made (not yet accepted by customer),1.0,1.1,,,"51.5673765002693, -0.194780880578112"
238,Eastern Power Networks (EPN),Mill Hill,North Finchley Primary 11kV,EPN-S0000000H8040,11,Connection offers made (not yet accepted by customer),1.0,9.1,,,"51.6158790310613, -0.181243677192809"
252,Eastern Power Networks (EPN),Norwich,George Hill Primary 11kV,EPN-S0000000H5052,11,Connection offers made (not yet accepted by customer),3.0,5.8,,,"52.6572372532096, 1.30128299227045"
254,Eastern Power Networks (EPN),Norwich,GT Yarmouth Grid 11kV,EPN-S0000000H5067,11,Budget Estimates Provided,1.0,1.2,,,"52.5916026624618, 1.73095825038195"
274,Eastern Power Networks (EPN),Norwich,Scottow Primary 11kV,EPN-S0000000H5059,11,Connection offers made (not yet accepted by customer),1.0,5.0,,,"52.7639546306434, 1.35128488915742"
287,Eastern Power Networks (EPN),Pelham,Belchamp Grid 33kV,EPN-S0000000D1011,33,Budget Estimates Provided,,,2,50.6,"52.0685789944063, 0.605358966326239"
305,Eastern Power Networks (EPN),Pelham,Takeley Primary 11kV,EPN-S0000000H3008,11,Connection offers made (not yet accepted by customer),1.0,1.8,,,"51.8720375539987, 0.261103751488548"
314,Eastern Power Networks (EPN),Rayleigh,Fleethall Grid 33kV,EPN-S0000000D7125,33,"Connection offers made (cancelled, expired, superseded)",,,1,17.5,"51.5706943663914, 0.733630386220976"
317,Eastern Power Networks (EPN),Rayleigh,Kingswood Primary 11kV,EPN-S0000000H7099,11,Budget Estimates Provided,1.0,1.5,,,"51.5674367093621, 0.453044252537402"
322,Eastern Power Networks (EPN),Rayleigh,Maldon Wick Primary 11kV,EPN-S0000000H3062,11,Connection offers made (not yet accepted by customer),1.0,1.5,,,"51.724849731361, 0.666506126793838"
323,Eastern Power Networks (EPN),Rayleigh,Marks Tey Primary 11kV,EPN-S0000000H3049,11,"Connection offerss made (cancelled, expired, superseded)",1.0,1.6,,,"51.8762753945112, 0.771662296345226"
332,Eastern Power Networks (EPN),Rayleigh,South Witham Primary 11kV,EPN-S0000000H3040,11,Budget Estimates Provided,,,2,12,"51.7851866826719, 0.635785080224398"
333,Eastern Power Networks (EPN),Rayleigh,South Woodham Primary 11kV,EPN-S0000000H3030,11,"Connection offers made (cancelled, expired, superseded)",,,1,5.1,"51.651027718283, 0.594451054535383"
334,Eastern Power Networks (EPN),Rayleigh,South Woodham Primary 11kV,EPN-S0000000H3030,11,Connection offers made (not yet accepted by customer),1.0,1.8,,,"51.651027718283, 0.594451054535383"
344,Eastern Power Networks (EPN),Rye House,Harlow West Grid 11kV,,33,Budget Estimates Provided,1.0,10.0,,,
347,Eastern Power Networks (EPN),Rye House,Hoddesdon Primary 11kV,EPN-S0000000H7045,11,Connection offers made (not yet accepted by customer),1.0,10.4,,,"51.7610226244789, -0.00978536934773836"
355,Eastern Power Networks (EPN),Rye House,Welwyn Primary 11kV,EPN-S0000000H8082,11,Budget Estimates Provided,1.0,5.0,,,"51.7883851130489, -0.209343731481634"
363,Eastern Power Networks (EPN),Sundon,Aylesbury East Grid 33kV,EPN-S0000000D8002,33,Budget Estimates Provided,,,3,90,"51.8255730051532, -0.775132146371567"
373,Eastern Power Networks (EPN),Sundon,Luton Airport Primary 11kV,EPN-S0000000H8039,11,Connection offers made (not yet accepted by customer),1.0,3.0,,,"51.8859823206316, -0.3778748757245"
386,Eastern Power Networks (EPN),Sundon,Sundon 33kV,EPN-S0000000D8086,33,Connection offers made (not yet accepted by customer),,,1,49.5,"51.9296757555707, -0.498023771548751"
416,Eastern Power Networks (EPN),Tottenham,Palmers Grn Grid 11kV,EPN-S0000000F7030,11,Connection offers made (not yet accepted by customer),1.0,1.2,,,"51.6160617212447, -0.113057905611158"
419,Eastern Power Networks (EPN),Tottenham,Ponders End Primary 11kV,EPN-S0000000H7071,11,Connection offers made (not yet accepted by customer),2.0,3.4,,,"51.6423477766754, -0.0422885115616133"
430,Eastern Power Networks (EPN),Walpole,Chatteris Primary 11kV,EPN-S0000000H6053,11,Connection offers made (not yet accepted by customer),4.0,11.2,,,"52.4557730368212, 0.0396030046490009"
433,Eastern Power Networks (EPN),Walpole,Downham Market Primary 33kV,,33,Budget Estimates Provided,,,1,20,
442,Eastern Power Networks (EPN),Walpole,Kings Lynn Grid  33kV,EPN-S0000000D6046,132,"Connection offers made (cancelled, expired, superseded)",,,1,49.9,"52.7576600302301, 0.399591493869985"
446,Eastern Power Networks (EPN),Walpole,March Grid 33kV,,11,Budget Estimates Provided,1.0,9.2,,,
449,Eastern Power Networks (EPN),Walpole,March Primary 11kV,EPN-S0000000H6029,11,Budget Estimates Provided,,,1,1.2,"52.5490797871529, 0.0858604926141099"
457,Eastern Power Networks (EPN),Walpole,Peterborough Central 33kV,EPN-S0000000D6060,132,Budget Estimates Provided,,,2,85,"52.5677892580101, -0.243114218957207"
460,Eastern Power Networks (EPN),Walpole,Peterborough East Grid 11kV,EPN-S0000000F6057,11,Connection offers made (not yet accepted by customer),1.0,1.5,,,"52.587102404767, -0.217291123167596"
466,Eastern Power Networks (EPN),Walpole,Stickfast Ln Primary 11kV,,11,Budget Estimates Provided,2.0,11.5,,,
488,Eastern Power Networks (EPN),Warley,Manor Way Primary 11kV,EPN-S0000000H7131,11,Connection offers made (accepted by customer),1.0,1.5,,,"51.5221979189558, 0.180992851124153"
493,Eastern Power Networks (EPN),Warley,Romford North Primary 11kV,,11,Budget Estimates Provided,1.0,1.6,,,
508,Eastern Power Networks (EPN),Watford South,Lye Grn Primary 11kV,EPN-S0000000H8161,11,Connection offers made (not yet accepted by customer),2.0,3.5,,,"51.7219807863055, -0.589783826433602"
512,Eastern Power Networks (EPN),Watford South,Watford South 132kV,EPN-S0000000C8171,132,Budget Estimates Provided,1.0,50.0,,,"51.642704737748, -0.404651376833844"
541,Eastern Power Networks (EPN),Wymondley,West Letchworth Primary 11kV,EPN-S0000000H8106,33,Budget Estimates Provided,,,1,8,"51.9877928601118, -0.246606575221753"
547,London Power Networks (LPN),West Ham,Glaucus St 11kV,LPN-S000000000634,11,Connection offers made (not yet accepted by customer),1.0,10.4,,,"51.5196034202651, -0.0178779448198617"
560,London Power Networks (LPN),Beddington,Beddington 132kV,,132,Connection offers made (not yet accepted by customer),,,1,240,
571,London Power Networks (LPN),City Road,Beech St B 11kV,LPN-S000000000408,11,Connection offers made (not yet accepted by customer),2.0,2.3,,,"51.5206108538184, -0.0932942255792156"
579,London Power Networks (LPN),City Road,Finsbury Mkt D 11kV,LPN-S000000000430,11,Budget Estimates Provided,1.0,2.4,,,"51.5212888749755, -0.0830314868258846"
598,London Power Networks (LPN),City Road,Newington House B 11kV,LPN-S000000000965,11,Connection offers made (not yet accepted by customer),1.0,1.6,,,"51.4980113660721, -0.0998707974429451"
632,London Power Networks (LPN),New Cross 132kV,Tooley St 11kV,,11,Connection offers made (not yet accepted by customer),1.0,1.0,,,
641,London Power Networks (LPN),New Cross 66kV,South Bank 11kV,LPN-S000000000979,11,Connection offers made (not yet accepted by customer),3.0,10.0,,,"51.5058188057305, -0.114474517975939"
651,London Power Networks (LPN),St Johns Wood,Duke St B 11kV,LPN-S000000000328,11,Connection offers made (not yet accepted by customer),5.0,15.3,,,"51.5131357357545, -0.151571579928347"
655,London Power Networks (LPN),St Johns Wood,Old Brompton Rd B 11kV,LPN-S000000000174,11,Connection offers made (not yet accepted by customer),2.0,7.0,,,"51.4865947925077, -0.194602700927025"
663,London Power Networks (LPN),Beddington,Churchfields 11kV,,11,Connection offers made (not yet accepted by customer),1.0,1.3,,,
668,London Power Networks (LPN),West Ham,Blackwall Way 11kV,LPN-S000000000640,11,Connection offers made (not yet accepted by customer),1.0,15.0,,,"51.507129604829, -0.00350464748068387"
671,London Power Networks (LPN),West Ham,Bow 11kV,LPN-S000000000615,11,Connection offers made (not yet accepted by customer),4.0,6.0,,,"51.5325947141485, -0.0123825637120869"
692,London Power Networks (LPN),Willesden Grid 66 kV,Bulwer St 11kV,LPN-S000000000109,11,Connection offers made (accepted by customer),1.0,5.0,,,"51.5055865356577, -0.223434837802431"
716,London Power Networks (LPN),Wimbledon 3&4 132kV,Victoria St 11kV,LPN-S000000000195,11,Connection offers made (not yet accepted by customer),1.0,4.6,,,"51.497285252835, -0.138137273134617"
741,South Eastern Power Networks (SPN),Bolney,Haywards Heath 11kV,,11,"Connection offer made (cancelled, expired, superseded)",1.0,1.72,,,
766,South Eastern Power Networks (SPN),Bolney,West Hoathly 11kV,,11,Connection offer made (not yet accepted by customer),1.0,1.5,,,
780,South Eastern Power Networks (SPN),Canterbury,Shepway 11kV,SPN-S000000008644,11,"Connection offer made (cancelled, expired, superseded)",3.0,4.7,,,"51.2519277517553, 0.54987351370232"
782,South Eastern Power Networks (SPN),Canterbury,Waterside 11kV,SPN-S000000008529,11,Connection offer made (not yet accepted by customer),2.0,3.77,,,"51.2770215741313, 0.51908567940078"
808,South Eastern Power Networks (SPN),Kemsley,Sittingbourne West 11kV,SPN-S000000008444,11,Connection offer made (accepted by customer),1.0,1.35,,,"51.3412853502412, 0.715243085981626"
814,South Eastern Power Networks (SPN),Kingsnorth,Chatham Grid 33kV,,33,Connection offer made (not yet accepted by customer),1.0,17.63,,,
819,South Eastern Power Networks (SPN),Kingsnorth,Kingsnorth Grid 132kV,SPN-S000000009976,132,"Connection offer made (cancelled, expired, superseded)",,,1,101.8,"51.4197964486026, 0.596060453884657"
848,South Eastern Power Networks (SPN),Ninfield,Meads 11kV,,11,Connection offer made (not yet accepted by customer),1.0,1.6,,,
871,South Eastern Power Networks (SPN),Northfleet,Northfleet East 33kV,,33,Connection offer made (accepted by customer),1.0,10.3,,,
879,South Eastern Power Networks (SPN),Northfleet,Northfleet East 132kV,SPN-S000000009937,132,Budget Estimates Provided,,,1,300,"51.4277809482857, 0.330940448884314"
901,South Eastern Power Networks (SPN),Sellindge,Harrietsham 11kV,SPN-S000000008414,11,Connection offer made (not yet accepted by customer),1.0,4.5,,,"51.2394868801445, 0.707680376471689"
14,Eastern Power Networks (EPN),Biggleswade,Biggleswade East 33kV,EPN-S0000000H4172,11,Connection offers made (not yet accepted by customer),2.0,17.5,,,
18,Eastern Power Networks (EPN),Braintree,Braintree Depot Primary 11kV,EPN-S0000000H3014,11,Budget Estimates Provided,1.0,2.0,,,"51.8824042477402, 0.572372304518029"
38,Eastern Power Networks (EPN),Bramford,Bungay Primary 11kV,,11,Connection offers made (not yet accepted by customer),1.0,4.5,,,
40,Eastern Power Networks (EPN),Bramford,Bury Grid 11kV,EPN-S0000000H1012,11,"Connection offers made (cancelled, expired, superseded)",1.0,3.0,,,"52.2397029827595, 0.722409751813484"
56,Eastern Power Networks (EPN),Bramford,Fornham Primary 11kV,EPN-S0000000H1062,33,Budget Estimates Provided,,,3,45,"52.2661025267136, 0.708490719934307"
66,Eastern Power Networks (EPN),Bramford,Ipswich Grid 11kV,EPN-S0000000H1024,11,Connection offers made (accepted by customer),1.0,4.4,,,"52.05576103445, 1.13603519740954"
69,Eastern Power Networks (EPN),Bramford,Lawford Grid 33kV,EPN-S0000000D3048,33,Budget Estimates Provided,1.0,37.4,1,25,"51.9166367025341, 1.01869819169731"
78,Eastern Power Networks (EPN),Bramford,Peasenhall Primary 11kV,EPN-S0000000H5008,11,Connection offers made (not yet accepted by customer),1.0,1.8,,,"52.2745358311332, 1.44705266124981"
89,Eastern Power Networks (EPN),Bramford,Thetford Grid 33kV,EPN-S0000000H1056,132,Budget Estimates Provided,,,2,80,"52.3872190958013, 0.736478402750066"
95,Eastern Power Networks (EPN),Bramford,Turret Ln Primary 11kV,,11,Budget Estimates Provided,1.0,2.0,,,
99,Eastern Power Networks (EPN),Bramford,Wickham Market Grid 33kV,EPN-S0000000D5073,132,Budget Estimates Provided,,,3,189,"52.1874930946002, 1.36753668530461"
104,Eastern Power Networks (EPN),Brimsdown,Brimsdown Grid 132kV,EPN-S0000000C7084,33,Budget Estimates Provided,1.0,30.0,,,"51.6641350951355, -0.024488960820121"
118,Eastern Power Networks (EPN),Burwell,Arbury Grid 11kV,EPN-S0000000H4001,11,Connection offers made (not yet accepted by customer),1.0,4.0,,,"52.2360705090683, 0.129295504611532"
131,Eastern Power Networks (EPN),Burwell,Fulbourn Grid 33kV,,33,Connection offers made (accepted by customer),,,1,30,
184,Eastern Power Networks (EPN),Eaton Socon,Prebend St Primary 11kV,EPN-S0000000H4077,11,Connection offers made (not yet accepted by customer),2.0,2.9,,,"52.1327888904601, -0.474020544694912"
191,Eastern Power Networks (EPN),Elstree,Bushey Mill Grid 33kV,EPN-S0000000D8006,132,Budget Estimates Provided,1.0,50.0,,,"51.670976638723, -0.382370800818844"
196,Eastern Power Networks (EPN),Elstree,Elstree GIS 132kV,EPN-S0000000C8245,132,Connection offers made (not yet accepted by customer),1.0,200.0,,,"51.6591401724472, -0.342180028458686"
213,Eastern Power Networks (EPN),Elstree,Tunnel Primary 11kV,EPN-S0000000H8104,11,"Connection offers made (cancelled, expired, superseded)",1.0,3.0,,,"51.7651303357817, -0.239016222977169"
215,Eastern Power Networks (EPN),Elstree,West Potters Bar Primary 11kV,EPN-S0000000H8083,11,Budget Estimates Provided,1.0,5.6,,,"51.7073052071919, -0.202401263478464"
220,Eastern Power Networks (EPN),Elstree Stanmore,Wealdstone Primary 11kV,EPN-S0000000H8105,11,Budget Estimates Provided,3.0,15.7,,,"51.5941882232731, -0.337601526464528"
233,Eastern Power Networks (EPN),Mill Hill,Hendon Way Primary 11kV,EPN-S0000000H8094,11,"Connection offers made (cancelled, expired, superseded)",1.0,7.0,,,"51.5741550554878, -0.212883238659527"
234,Eastern Power Networks (EPN),Mill Hill,Hendon Way Primary 11kV,EPN-S0000000H8094,11,Connection offers made (not yet accepted by customer),1.0,1.4,,,"51.5741550554878, -0.212883238659527"
270,Eastern Power Networks (EPN),Norwich,Sall Grid 33kV,EPN-S0000000D5023,33,"Connection offers made (cancelled, expired, superseded)",,,1,25,"52.7731302289295, 1.15120280997115"
272,Eastern Power Networks (EPN),Norwich,Scottow Primary 11kV,EPN-S0000000H5059,11,Budget Estimates Provided,3.0,15.5,,,"52.7639546306434, 1.35128488915742"
282,Eastern Power Networks (EPN),Norwich,Trowse Grid 33kV,EPN-S0000000D5084,33,Connection offers made (not yet accepted by customer),1.0,14.9,1,50,"52.6078675543899, 1.30817283390477"
